shipment_id,origin_city,destination_city,pickup_date,delivery_date,weight_kg,distance_km,delivery_status,cost
SHP00095,Ahmedabad,Ahmedabad,2023-11-11,2023-11-19,6.32,159.9,Failed,201.82
SHP00096,Hyderabad,Delhi,2023-01-24,2023-01-31,49.52,72.6,Delivered,333.63
SHP00097,Kolkata,Bangalore,2023-02-04,2023-02-07,10.87,1394.0,Delivered,1166.04
SHP00098,Pune,Hyderabad,2023-04-16,2023-04-18,1.08,882.5,Delivered,730.02
SHP00099,Kolkata,Chennai,2023-12-29,2024-01-05,49.87,1108.9,Failed,1140.06
SHP00100,Bangalore,Hyderabad,2024-01-01,2024-01-09,14.41,1119.7,Failed,966.22
SHP00101,Bangalore,Delhi,2023-12-22,2023-12-27,33.57,562.0,Delivered,642.54
SHP00102,Ahmedabad,Chennai,2023-11-19,2023-11-21,9.25,957.0,Delivered,833.87
SHP00103,Bangalore,Hyderabad,2023-12-13,2023-12-15,29.22,946.8,Delivered,897.32
SHP00104,Kolkata,Ahmedabad,2023-11-10,2023-11-16,45.25,783.0,Delivered,874.69
SHP00105,Hyderabad,Ahmedabad,2023-01-21,2023-01-24,16.35,1643.1,Delivered,1367.33
SHP00106,Chennai,Hyderabad,2023-10-18,2023-10-25,33.68,907.8,Delivered,918.29
SHP00107,Chennai,Chennai,2023-08-05,2023-08-07,9.8,1211.3,Delivered,1020.59
SHP00108,Ahmedabad,Delhi,2023-03-24,2023-03-26,31.43,1792.1,Delivered,1571.17
SHP00109,Delhi,Hyderabad,2023-09-21,2023-09-25,17.15,1733.8,Delivered,1439.63
SHP00110,Chennai,Chennai,2023-09-05,2023-09-09,10.95,1781.9,Delivered,1429.36
SHP00111,Chennai,Kolkata,2023-09-28,2023-10-05,16.0,547.3,Delivered,540.62
SHP00112,Bangalore,Ahmedabad,2023-10-03,2023-10-06,9.35,79.6,Delivered,164.89
SHP00113,Bangalore,Kolkata,2023-06-16,2023-06-22,45.14,529.5,Failed,683.8
SHP00114,Kolkata,Delhi,2023-05-27,2023-05-31,20.16,564.6,Delivered,554.27
SHP00115,Ahmedabad,Chennai,2023-02-16,2023-02-20,12.64,1819.6,Delivered,1478.1
SHP00116,Delhi,Kolkata,2023-10-03,2023-10-05,22.7,1302.0,Delivered,1129.41
SHP00117,Ahmedabad,Chennai,2023-09-08,2023-09-11,16.37,172.6,Delivered,276.3
SHP00118,Mumbai,Hyderabad,2023-09-14,2023-09-16,37.35,279.4,Delivered,432.42
SHP00119,Pune,Delhi,2023-04-13,2023-04-17,48.58,319.8,Delayed,539.41
SHP00120,Delhi,Kolkata,2023-11-27,2023-11-28,22.18,1264.5,Delivered,1099.92
SHP00121,Delhi,Pune,2023-03-10,2023-03-14,43.12,1473.5,Delivered,1364.99
SHP00122,Hyderabad,Hyderabad,2023-05-08,2023-05-12,28.51,1720.7,Delivered,1500.7
SHP00123,Ahmedabad,Ahmedabad,2023-08-22,2023-09-03,8.28,1881.9,Delayed,1492.44
SHP00124,Kolkata,Pune,2023-06-27,2023-07-11,34.69,411.4,Delayed,515.8
SHP00125,Hyderabad,Pune,2023-01-24,2023-01-26,25.92,626.4,Delivered,632.17
SHP00126,Delhi,Mumbai,2023-07-07,2023-07-09,32.71,488.2,Delivered,579.88
SHP00127,Delhi,Mumbai,2023-03-28,2023-04-02,44.54,723.9,Delivered,821.29
SHP00128,Delhi,Delhi,2023-08-13,2023-08-16,22.3,1830.2,Delivered,1527.24
SHP00129,Chennai,Kolkata,2023-09-06,2023-09-08,45.11,1154.5,Delivered,1149.04
SHP00130,Ahmedabad,Kolkata,2023-08-01,2023-08-07,37.66,1479.0,Delayed,1329.99
SHP00131,Pune,Kolkata,2023-07-01,2023-07-04,24.69,985.3,Delivered,926.72
SHP00132,Pune,Chennai,2023-12-26,2023-12-27,30.36,67.4,Delivered,265.01
SHP00133,Hyderabad,Hyderabad,2023-03-05,2023-03-07,16.62,137.7,Delivered,255.79
SHP00134,Delhi,Kolkata,2023-09-08,2023-09-11,49.19,1080.5,Delivered,1123.79
SHP00135,Pune,Hyderabad,2023-12-04,2023-12-10,33.53,1440.4,Delivered,1292.2
SHP00136,Bangalore,Delhi,2023-11-12,2023-11-17,2.67,438.5,Delivered,388.2
SHP00137,Ahmedabad,Pune,2023-03-23,2023-03-26,16.67,1446.6,Delivered,1228.14
SHP00138,Pune,Kolkata,2023-02-10,2023-02-17,31.35,1623.2,Delivered,1409.51
SHP00139,Kolkata,Delhi,2023-03-08,2023-03-12,3.29,829.7,Delivered,681.29
SHP00140,Ahmedabad,Kolkata,2023-07-28,2023-08-03,1.68,1495.4,Failed,1164.69
SHP00141,Kolkata,Mumbai,2023-01-27,2023-01-30,22.78,814.0,Delivered,772.6
SHP00142,Pune,Bangalore,2023-09-27,2023-10-02,16.97,1359.9,Delivered,1156.86
SHP00143,Bangalore,Delhi,2023-12-10,2023-12-12,22.2,1530.4,Delivered,1297.25
SHP00144,Kolkata,Kolkata,2023-01-03,2023-01-06,13.5,1983.9,Delivered,1586.49
SHP00145,Chennai,Ahmedabad,2023-08-03,2023-08-09,8.65,697.3,Delayed,625.0
SHP00146,Pune,Bangalore,2023-10-03,2023-10-07,34.61,828.0,Delayed,824.85
SHP00147,Chennai,Delhi,2023-11-12,2023-11-13,25.97,339.6,Delivered,453.49
SHP00148,Pune,Ahmedabad,2023-04-09,2023-04-16,10.41,416.1,Delivered,402.99
SHP00149,Mumbai,Ahmedabad,2023-08-14,2023-08-20,16.32,1389.9,Delivered,1180.58
SHP00150,Mumbai,Chennai,2023-12-21,2023-12-25,29.79,1834.9,Delayed,1572.52
SHP00151,Mumbai,Ahmedabad,2023-02-07,2023-02-11,4.08,795.3,Delivered,649.26
SHP00152,Kolkata,Kolkata,2023-05-15,2023-05-21,7.8,367.9,Delivered,363.81
SHP00153,Chennai,Chennai,2023-11-16,2023-11-19,4.13,577.3,Delivered,504.3
SHP00154,Chennai,Mumbai,2023-01-27,2023-01-31,40.71,915.6,Failed,954.44
SHP00155,Chennai,Kolkata,2023-12-04,2023-12-05,37.74,588.4,Delivered,689.29
SHP00156,Bangalore,Pune,2023-10-08,2023-10-10,37.79,474.8,Delivered,578.22
SHP00157,Chennai,Ahmedabad,2023-10-30,2023-10-31,35.96,1474.6,Delivered,1324.12
SHP00158,Bangalore,Mumbai,2023-08-22,2023-08-29,33.63,25.6,Delayed,229.83
SHP00159,Mumbai,Bangalore,2023-01-19,2023-01-25,24.11,1083.1,Delivered,967.53
SHP00160,Mumbai,Delhi,2023-04-03,2023-04-08,32.29,1589.6,Delayed,1401.93
SHP00161,Kolkata,Ahmedabad,2023-01-09,2023-01-16,2.4,539.8,Delivered,486.22
SHP00162,Pune,Hyderabad,2023-07-29,2023-08-01,31.26,1210.6,Delivered,1114.83
SHP00163,Mumbai,Mumbai,2023-02-20,2023-03-01,39.0,1341.1,Delayed,1260.5
SHP00164,Pune,Hyderabad,2023-10-23,2023-11-07,25.27,1313.5,Delayed,1168.79
SHP00165,Pune,Ahmedabad,2023-12-20,2023-12-26,18.2,897.2,Delivered,827.9
SHP00166,Ahmedabad,Hyderabad,2023-11-09,2023-11-12,14.23,699.7,Delivered,634.55
SHP00167,Kolkata,Ahmedabad,2023-06-05,2023-06-11,32.32,1673.5,Delivered,1476.88
SHP00168,Delhi,Delhi,2023-07-02,2023-07-09,34.79,1519.3,Delivered,1378.68
SHP00169,Delhi,Bangalore,2023-08-22,2023-08-24,43.61,649.3,Delivered,741.89
SHP00170,Hyderabad,Delhi,2023-07-10,2023-07-16,17.45,215.0,Delivered,292.37
SHP00171,Ahmedabad,Kolkata,2023-10-27,2023-10-30,38.6,152.9,Delivered,376.48
SHP00172,Kolkata,Mumbai,2023-07-02,2023-07-09,28.29,197.6,Delivered,350.88
SHP00173,Hyderabad,Hyderabad,2023-04-09,2023-04-15,44.2,1169.9,Delivered,1139.73
SHP00174,Hyderabad,Delhi,2023-01-05,2023-01-09,26.63,112.8,Delivered,270.31
SHP00175,Ahmedabad,Ahmedabad,2023-11-08,2023-11-11,26.12,680.5,Delivered,687.15
SHP00176,Delhi,Delhi,2023-05-28,2023-05-29,29.1,1508.9,Delivered,1326.77
SHP00177,Kolkata,Delhi,2023-08-17,2023-08-18,37.59,595.8,Delivered,679.01
SHP00178,Delhi,Mumbai,2023-01-10,2023-01-14,48.25,1529.0,Delivered,1429.17
SHP00179,Hyderabad,Bangalore,2023-05-02,2023-05-04,4.14,1493.5,Delivered,1197.82
SHP00180,Kolkata,Pune,2023-03-08,2023-03-11,3.15,499.2,Delivered,451.29
SHP00181,Hyderabad,Delhi,2023-03-22,2023-03-28,46.91,1460.4,Delivered,1394.81
SHP00182,Chennai,Mumbai,2023-11-30,2023-12-12,26.73,1498.1,Failed,1293.44
SHP00183,Ahmedabad,Hyderabad,2023-02-12,2023-02-18,30.94,800.9,Delivered,818.29
SHP00184,Pune,Ahmedabad,2023-09-04,2023-09-11,24.38,428.7,Delivered,483.62
SHP00185,Kolkata,Kolkata,2023-03-21,2023-03-25,5.14,1047.3,Delivered,858.27
SHP00186,Kolkata,Pune,2023-12-30,2024-01-13,38.52,1843.6,Delayed,1641.36
SHP00187,Pune,Chennai,2023-04-12,2023-04-14,37.49,1282.8,Delivered,1197.73
SHP00188,Hyderabad,Pune,2023-10-23,2023-10-31,15.93,354.1,Delayed,383.11
SHP00189,Chennai,Ahmedabad,2023-07-04,2023-07-10,15.66,1368.7,Delivered,1141.22
SHP00190,Bangalore,Pune,2023-05-17,2023-05-22,41.97,860.1,Failed,903.84
SHP00191,Pune,Ahmedabad,2023-10-05,2023-10-09,4.08,1187.1,Delivered,971.23
SHP00192,Ahmedabad,Mumbai,2023-09-01,2023-09-04,44.11,1470.8,Delivered,1393.54
SHP00193,Delhi,Chennai,2023-08-19,2023-08-27,13.2,1034.7,Delayed,903.52
SHP00194,Hyderabad,Delhi,2023-06-14,2023-06-18,29.85,1629.8,Delivered,1436.68
SHP00195,Pune,Delhi,2023-03-18,2023-03-24,46.83,1447.1,Delivered,1379.39
SHP00196,Pune,Pune,2023-06-09,2023-06-10,34.07,1234.0,Delivered,1161.67
SHP00197,Kolkata,Mumbai,2023-12-08,2023-12-11,21.01,310.1,Delivered,370.68
SHP00198,Delhi,Chennai,2023-04-25,2023-04-29,34.63,1673.5,Failed,1495.47
SHP00199,Delhi,Delhi,2023-12-30,2024-01-05,17.53,1872.5,Delivered,1537.88
SHP00200,Ahmedabad,Hyderabad,2023-04-05,2023-04-11,14.22,282.6,Delayed,349.91
SHP00201,Delhi,Bangalore,2023-01-23,2023-02-01,49.84,981.6,Failed,1018.43
SHP00202,Pune,Bangalore,2023-09-07,2023-09-11,37.66,525.2,Delivered,640.81
SHP00203,Bangalore,Delhi,2023-02-18,2023-02-23,32.41,1511.5,Delivered,1355.1
SHP00204,Mumbai,Chennai,2023-06-09,2023-06-11,18.09,1446.0,Failed,1244.83
SHP00205,Hyderabad,Kolkata,2023-10-30,2023-11-03,2.93,290.4,Delivered,293.2
SHP00206,Mumbai,Delhi,2023-06-24,2023-06-27,2.04,1755.3,Delayed,1371.98
SHP00207,Pune,Kolkata,2023-01-16,2023-01-22,27.93,370.1,Delivered,469.51
SHP00208,Mumbai,Kolkata,2023-09-06,2023-09-12,38.22,1596.5,Delivered,1433.14
SHP00209,Pune,Ahmedabad,2023-06-04,2023-06-11,27.1,919.4,Delayed,862.89
SHP00210,Mumbai,Ahmedabad,2023-08-01,2023-08-04,42.12,663.3,Delivered,748.02
SHP00211,Delhi,Chennai,2023-12-03,2023-12-04,2.15,324.9,Delivered,293.31
SHP00212,Chennai,Kolkata,2023-10-06,2023-10-11,18.65,343.6,Delivered,402.9
SHP00213,Delhi,Hyderabad,2023-11-07,2023-11-16,12.23,1327.2,Delayed,1122.8
SHP00214,Delhi,Chennai,2023-01-05,2023-01-12,22.64,1105.4,Delivered,1008.76
SHP00215,Ahmedabad,Delhi,2023-10-17,2023-10-23,4.08,252.9,Delivered,242.27
SHP00216,Kolkata,Pune,2023-01-13,2023-01-16,47.73,234.3,Delivered,447.57
SHP00217,Kolkata,Hyderabad,2023-03-13,2023-03-20,11.55,153.9,Delivered,212.98
SHP00218,Mumbai,Mumbai,2023-08-01,2023-08-03,46.15,1490.1,Delivered,1388.53
SHP00219,Pune,Bangalore,2023-02-20,2023-02-22,21.58,1426.6,Delivered,1211.65
SHP00220,Ahmedabad,Delhi,2023-11-23,2023-11-27,49.28,126.3,Delivered,386.66
SHP00221,Delhi,Delhi,2023-01-29,2023-02-07,27.93,1124.9,Delayed,1036.83
SHP00222,Ahmedabad,Delhi,2023-04-06,2023-04-08,46.58,178.5,Delivered,419.9
SHP00223,Mumbai,Hyderabad,2023-01-15,2023-01-18,0.76,1808.5,Delivered,1411.91
SHP00224,Kolkata,Mumbai,2023-07-21,2023-07-24,37.54,1815.2,Failed,1592.65
SHP00225,Chennai,Pune,2023-11-26,2023-11-27,45.2,1399.5,Delivered,1333.88
SHP00226,Hyderabad,Chennai,2023-05-31,2023-06-03,7.42,1853.1,Delayed,1489.98
SHP00227,Mumbai,Ahmedabad,2023-01-28,2023-01-31,5.26,1624.8,Delivered,1288.75
SHP00228,Ahmedabad,Mumbai,2023-06-06,2023-06-12,21.52,1658.8,Delivered,1385.12
SHP00229,Chennai,Hyderabad,2023-03-21,2023-03-23,46.72,1143.7,Delivered,1133.23
SHP00230,Hyderabad,Delhi,2023-05-03,2023-05-04,27.35,619.1,Delivered,636.57
SHP00231,Bangalore,Bangalore,2023-06-30,2023-07-03,26.61,443.4,Delivered,514.29
SHP00232,Mumbai,Delhi,2023-02-16,2023-02-18,7.49,661.1,Delivered,569.51
SHP00233,Mumbai,Chennai,2023-06-22,2023-06-28,0.54,1260.7,Delivered,996.74
SHP00234,Bangalore,Kolkata,2023-11-25,2023-12-02,40.6,353.6,Delivered,507.04
SHP00235,Bangalore,Bangalore,2023-06-23,2023-06-27,4.83,524.7,Delivered,477.22
SHP00236,Mumbai,Delhi,2023-10-03,2023-10-10,31.88,941.4,Delivered,896.55
SHP00237,Bangalore,Pune,2023-05-19,2023-05-24,45.77,473.8,Delivered,636.39
SHP00238,Delhi,Bangalore,2023-01-22,2023-01-29,10.83,1181.4,Delivered,976.98
SHP00239,Hyderabad,Kolkata,2023-07-15,2023-07-21,33.43,1847.1,Delivered,1582.51
SHP00240,Hyderabad,Ahmedabad,2023-04-04,2023-04-06,4.4,1498.7,Delivered,1210.79
SHP00241,Hyderabad,Mumbai,2023-10-10,2023-10-17,30.39,1336.2,Delivered,1210.96
SHP00242,Delhi,Hyderabad,2023-09-06,2023-09-09,8.61,1169.6,Delivered,954.21
SHP00243,Pune,Ahmedabad,2023-07-06,2023-07-08,36.93,981.0,Delivered,976.96
SHP00244,Bangalore,Delhi,2023-04-19,2023-05-01,15.41,381.3,Failed,417.49
SHP00245,Chennai,Chennai,2023-11-27,2023-12-01,23.44,1790.5,Delivered,1509.01
SHP00246,Bangalore,Mumbai,2023-06-24,2023-06-27,30.17,504.6,Delivered,576.07
SHP00247,Mumbai,Ahmedabad,2023-12-14,2023-12-28,8.98,191.7,Delayed,254.16
SHP00248,Kolkata,Delhi,2023-09-13,2023-09-18,37.21,1502.5,Delivered,1352.73
SHP00249,Ahmedabad,Mumbai,2023-07-03,2023-07-07,15.48,359.5,Delivered,392.96
SHP00250,Ahmedabad,Ahmedabad,2023-11-30,2023-12-06,33.29,750.1,Delivered,772.19
SHP00251,Hyderabad,Chennai,2023-05-16,2023-05-17,8.34,66.3,Delivered,152.27
SHP00252,Bangalore,Delhi,2023-11-23,2023-11-28,34.56,282.8,Delivered,451.56
SHP00253,Chennai,Kolkata,2023-09-05,2023-09-12,6.85,354.7,Delivered,364.27
SHP00254,Mumbai,Kolkata,2023-09-14,2023-09-15,21.56,118.3,Delivered,258.43
SHP00255,Delhi,Chennai,2023-11-02,2023-11-03,12.74,1316.7,Delivered,1120.7
SHP00256,Pune,Bangalore,2023-11-11,2023-11-16,37.54,1675.6,Delivered,1502.29
SHP00257,Delhi,Chennai,2023-12-16,2023-12-21,13.47,752.9,Delivered,692.07
SHP00258,Chennai,Bangalore,2023-09-08,2023-09-11,44.15,1750.4,Delivered,1602.86
SHP00259,Mumbai,Delhi,2023-03-11,2023-03-16,44.65,434.6,Delivered,579.48
SHP00260,Hyderabad,Ahmedabad,2023-06-21,2023-06-27,10.22,657.5,Delivered,599.59
SHP00261,Bangalore,Bangalore,2023-10-27,2023-10-29,30.89,310.0,Delivered,446.51
SHP00262,Mumbai,Delhi,2023-09-11,2023-09-20,4.84,1244.9,Failed,1024.59
SHP00263,Ahmedabad,Delhi,2023-10-30,2023-11-06,19.88,845.5,Delivered,798.88
SHP00264,Pune,Pune,2023-02-10,2023-02-11,35.81,1230.4,Delivered,1165.53
SHP00265,Delhi,Hyderabad,2023-05-20,2023-05-23,33.14,1525.7,Delivered,1377.81
SHP00266,Pune,Delhi,2023-09-24,2023-09-27,31.42,1095.9,Delivered,1030.52
SHP00267,Pune,Bangalore,2023-04-04,2023-04-10,14.49,1259.0,Delivered,1046.98
SHP00268,Chennai,Hyderabad,2023-10-02,2023-10-14,19.21,1871.1,Failed,1529.82
SHP00269,Chennai,Hyderabad,2023-01-10,2023-01-14,5.6,605.1,Delivered,533.61
SHP00270,Bangalore,Delhi,2023-08-07,2023-08-09,36.09,724.7,Failed,771.39
SHP00271,Chennai,Chennai,2023-03-12,2023-03-15,25.44,1438.2,Delivered,1253.9
SHP00272,Chennai,Chennai,2023-09-28,2023-10-07,35.58,1226.5,Failed,1143.79
SHP00273,Mumbai,Kolkata,2023-02-01,2023-02-08,12.82,365.3,Delivered,404.78
SHP00274,Ahmedabad,Hyderabad,2023-12-01,2023-12-08,16.56,758.5,Delivered,696.04
SHP00275,Hyderabad,Delhi,2023-07-02,2023-07-16,17.04,941.0,Delayed,855.2
SHP00276,Bangalore,Pune,2023-12-21,2023-12-26,1.77,844.6,Delivered,708.41
SHP00277,Mumbai,Chennai,2023-01-05,2023-01-13,17.38,364.8,Failed,410.48
SHP00278,Hyderabad,Pune,2023-05-25,2023-05-29,40.26,1849.6,Delivered,1636.38
SHP00279,Pune,Delhi,2023-07-17,2023-07-19,44.92,1527.0,Delivered,1430.29
SHP00280,Mumbai,Delhi,2023-07-21,2023-07-22,26.15,967.9,Delivered,914.99
